"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","regulation of chromosome segregation","0.62%","5","760","13","19478","1.23e-3","1.14e-1","9.86","9.86e-1","1.13e-1","8.84e-5"
"KEGG_PATHWAY","Type I diabetes mellitus","1.12%","9","426","44","8534","1.29e-3","1.71e-2","4.10","3.38e-1","1.50e-2","2.63e-4"
"UP_KW_CELLULAR_COMPONENT","Lysosome","4.10%","33","748","436","18049","1.31e-3","8.46e-3","1.83","6.59e-2","6.02e-3","6.67e-4"
"UP_SEQ_FEATURE","DOMAIN:Kinesin motor","0.99%","8","789","45","20675","1.46e-3","2.83e-1","4.66","9.97e-1","2.82e-1","2.67e-4"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion","10.06%","81","748","1385","18049","1.46e-3","8.46e-3","1.41","7.33e-2","6.02e-3","9.92e-4"
"KEGG_PATHWAY","Graft-versus-host disease","1.12%","9","426","45","8534","1.50e-3","1.92e-2","4.01","3.81e-1","1.68e-2","3.15e-4"
"UP_KW_DISEASE","Ehlers-Danlos syndrome","0.75%","6","244","18","4859","1.50e-3","1.17e-1","6.64","1.11e-1","1.14e-1","1.68e-4"
"UP_SEQ_FEATURE","REGION:Triple-helical region","0.75%","6","789","23","20675","1.51e-3","2.83e-1","6.84","9.97e-1","2.82e-1","1.75e-4"
"INTERPRO","Kinesin_motor_dom","0.99%","8","802","45","20808","1.54e-3","1.66e-1","4.61","9.67e-1","1.65e-1","2.86e-4"
"GOTERM_BP_DIRECT","neural tube closure","1.37%","11","760","84","19478","1.55e-3","1.40e-1","3.36","9.95e-1","1.39e-1","4.11e-4"
"GOTERM_CC_DIRECT","transport vesicle","1.49%","12","791","101","20795","1.57e-3","2.48e-2","3.12","6.38e-1","2.25e-2","4.52e-4"
"KEGG_PATHWAY","Staphylococcus aureus infection","1.74%","14","426","102","8534","1.58e-3","1.93e-2","2.75","3.95e-1","1.70e-2","5.09e-4"
"INTERPRO","Pept_M10_metallopeptidase","0.75%","6","802","23","20808","1.58e-3","1.66e-1","6.77","9.69e-1","1.65e-1","1.85e-4"
"INTERPRO","M10A_MMP","0.75%","6","802","23","20808","1.58e-3","1.66e-1","6.77","9.69e-1","1.65e-1","1.85e-4"
"INTERPRO","Pept_M10A","0.75%","6","802","23","20808","1.58e-3","1.66e-1","6.77","9.69e-1","1.65e-1","1.85e-4"
"UP_KW_CELLULAR_COMPONENT","Microtubule","3.11%","25","748","300","18049","1.64e-3","8.52e-3","2.01","8.17e-2","6.06e-3","7.55e-4"
"GOTERM_CC_DIRECT","azurophil granule membrane","1.12%","9","791","59","20795","1.67e-3","2.56e-2","4.01","6.60e-1","2.32e-2","3.63e-4"
"GOTERM_CC_DIRECT","melanosome","1.49%","12","791","102","20795","1.71e-3","2.56e-2","3.09","6.67e-1","2.32e-2","4.95e-4"
"SMART","KISc","0.99%","8","424","45","10706","1.77e-3","1.30e-1","4.49","4.07e-1","1.30e-1","3.36e-4"
"GOTERM_BP_DIRECT","endodermal cell differentiation","0.87%","7","760","34","19478","1.81e-3","1.57e-1","5.28","9.98e-1","1.56e-1","2.87e-4"
"UP_KW_BIOLOGICAL_PROCESS","Innate immunity","4.10%","33","496","431","11523","1.82e-3","2.93e-2","1.78","2.09e-1","2.75e-2","9.55e-4"
"GOTERM_BP_DIRECT","synapse pruning","0.50%","4","760","7","19478","1.83e-3","1.57e-1","14.65","9.98e-1","1.56e-1","7.32e-5"
"GOTERM_MF_DIRECT","proteoglycan binding","0.62%","5","776","14","19253","1.89e-3","1.42e-1","8.86","8.79e-1","1.41e-1","1.55e-4"
"GOTERM_MF_DIRECT","collagen binding","1.24%","10","776","70","19253","1.91e-3","1.42e-1","3.54","8.82e-1","1.41e-1","4.74e-4"
"UP_KW_CELLULAR_COMPONENT","Nucleus","35.16%","283","748","5917","18049","1.99e-3","9.41e-3","1.15","9.84e-2","6.69e-3","1.69e-3"
"GOTERM_BP_DIRECT","negative regulation of type I interferon-mediated signaling pathway","0.75%","6","760","24","19478","2.03e-3","1.70e-1","6.41","9.99e-1","1.68e-1","2.55e-4"
"UP_SEQ_FEATURE","DOMAIN:MHC class II beta chain N-terminal","0.62%","5","789","15","20675","2.04e-3","3.65e-1","8.73","1.00e+0","3.64e-1","1.74e-4"
"GOTERM_CC_DIRECT","extracellular matrix","2.36%","19","791","223","20795","2.21e-3","3.24e-2","2.24","7.60e-1","2.94e-2","9.24e-4"
"UP_KW_BIOLOGICAL_PROCESS","Antiviral defense","1.86%","15","496","137","11523","2.26e-3","3.24e-2","2.54","2.53e-1","3.04e-2","8.05e-4"
"UP_KW_CELLULAR_COMPONENT","Golgi apparatus","7.58%","61","748","999","18049","2.36e-3","1.02e-2","1.47","1.16e-1","7.28e-3","1.50e-3"
"GOTERM_CC_DIRECT","transport vesicle membrane","0.99%","8","791","49","20795","2.38e-3","3.40e-2","4.29","7.85e-1","3.09e-2","4.79e-4"
"KEGG_PATHWAY","Influenza A","2.36%","19","426","173","8534","2.38e-3","2.81e-2","2.20","5.32e-1","2.47e-2","9.85e-4"
"GOTERM_CC_DIRECT","intracellular membrane-bounded organelle","7.20%","58","791","1022","20795","2.43e-3","3.40e-2","1.49","7.91e-1","3.09e-2","1.57e-3"
"UP_SEQ_FEATURE","REPEAT:Hemopexin","0.62%","5","789","16","20675","2.64e-3","4.33e-1","8.19","1.00e+0","4.32e-1","2.46e-4"
"UP_SEQ_FEATURE","DOMAIN:Peptidase metallopeptidase","0.62%","5","789","16","20675","2.64e-3","4.33e-1","8.19","1.00e+0","4.32e-1","2.46e-4"
"INTERPRO","Chond_GalNAc","0.50%","4","802","8","20808","2.75e-3","2.53e-1","12.97","9.98e-1","2.52e-1","1.35e-4"
"INTERPRO","CS_glycosyltransferase","0.50%","4","802","8","20808","2.75e-3","2.53e-1","12.97","9.98e-1","2.52e-1","1.35e-4"
"INTERPRO","MHC_I_a_C","0.50%","4","802","8","20808","2.75e-3","2.53e-1","12.97","9.98e-1","2.52e-1","1.35e-4"
"GOTERM_MF_DIRECT","ATP binding","10.56%","85","776","1546","19253","2.83e-3","1.97e-1","1.36","9.58e-1","1.96e-1","2.08e-3"
"GOTERM_BP_DIRECT","positive regulation of immune response","0.87%","7","760","37","19478","2.84e-3","2.27e-1","4.85","1.00e+0","2.25e-1","4.96e-4"
"GOTERM_BP_DIRECT","negative regulation of macrophage chemotaxis","0.50%","4","760","8","19478","2.85e-3","2.27e-1","12.81","1.00e+0","2.25e-1","1.42e-4"
"GOTERM_CC_DIRECT","microtubule cytoskeleton","2.48%","20","791","247","20795","2.91e-3","3.96e-2","2.13","8.48e-1","3.60e-2","1.29e-3"
"GOTERM_CC_DIRECT","extracellular region","14.16%","114","791","2313","20795","2.95e-3","3.96e-2","1.30","8.51e-1","3.60e-2","2.16e-3"
"UP_KW_PTM","Hydroxylation","2.48%","20","663","205","14316","3.11e-3","1.87e-2","2.11","8.63e-2","1.49e-2","1.35e-3"
"GOTERM_CC_DIRECT","spindle microtubule","0.87%","7","791","39","20795","3.30e-3","4.27e-2","4.72","8.81e-1","3.88e-2","5.96e-4"
"GOTERM_CC_DIRECT","condensed chromosome, centromeric region","0.62%","5","791","17","20795","3.31e-3","4.27e-2","7.73","8.82e-1","3.88e-2","3.32e-4"
"GOTERM_MF_DIRECT","protein kinase binding","4.22%","34","776","495","19253","3.32e-3","2.11e-1","1.70","9.76e-1","2.09e-1","1.85e-3"
"GOTERM_BP_DIRECT","regulation of cell population proliferation","1.86%","15","760","157","19478","3.38e-3","2.63e-1","2.45","1.00e+0","2.61e-1","1.26e-3"
"INTERPRO","Hemopexin_CS","0.62%","5","802","17","20808","3.47e-3","3.07e-1","7.63","1.00e+0","3.05e-1","3.53e-4"
"GOTERM_CC_DIRECT","trans-Golgi network membrane","1.49%","12","791","112","20795","3.57e-3","4.52e-2","2.82","9.01e-1","4.11e-2","1.15e-3"
"UP_KW_LIGAND","ATP-binding","10.06%","81","293","1454","6987","3.64e-3","1.42e-1","1.33","1.32e-1","1.42e-1","2.64e-3"
"GOTERM_MF_DIRECT","forked DNA-dependent helicase activity","0.99%","8","776","50","19253","3.68e-3","2.11e-1","3.97","9.84e-1","2.09e-1","8.04e-4"
"GOTERM_CC_DIRECT","mitochondrial matrix","3.73%","30","791","447","20795","3.69e-3","4.58e-2","1.76","9.08e-1","4.16e-2","2.04e-3"
"GOTERM_BP_DIRECT","negative regulation of apoptotic process","4.22%","34","760","515","19478","3.70e-3","2.82e-1","1.69","1.00e+0","2.80e-1","2.02e-3"
"GOTERM_BP_DIRECT","positive regulation of fibroblast proliferation","0.99%","8","760","52","19478","3.86e-3","2.88e-1","3.94","1.00e+0","2.85e-1","8.51e-4"
"GOTERM_CC_DIRECT","MHC class I peptide loading complex","0.50%","4","791","9","20795","3.86e-3","4.70e-2","11.68","9.18e-1","4.27e-2","2.25e-4"
"GOTERM_MF_DIRECT","four-way junction helicase activity","0.99%","8","776","51","19253","4.13e-3","2.11e-1","3.89","9.90e-1","2.09e-1","9.20e-4"
"GOTERM_MF_DIRECT","single-stranded 3'-5' DNA helicase activity","0.99%","8","776","51","19253","4.13e-3","2.11e-1","3.89","9.90e-1","2.09e-1","9.20e-4"
"GOTERM_MF_DIRECT","double-stranded DNA helicase activity","0.99%","8","776","51","19253","4.13e-3","2.11e-1","3.89","9.90e-1","2.09e-1","9.20e-4"
"GOTERM_BP_DIRECT","positive regulation of G2/M transition of mitotic cell cycle","0.75%","6","760","28","19478","4.13e-3","3.02e-1","5.49","1.00e+0","2.99e-1","6.24e-4"
"KEGG_PATHWAY","Human cytomegalovirus infection","2.73%","22","426","226","8534","4.19e-3","4.77e-2","1.95","7.38e-1","4.19e-2","2.02e-3"
"GOTERM_CC_DIRECT","nuclear membrane","2.61%","21","791","274","20795","4.19e-3","4.85e-2","2.01","9.33e-1","4.41e-2","1.95e-3"
"GOTERM_CC_DIRECT","complement component C1q complex","0.37%","3","791","3","20795","4.22e-3","4.85e-2","26.29","9.34e-1","4.41e-2","5.48e-5"
"GOTERM_CC_DIRECT","complement component C1 complex","0.37%","3","791","3","20795","4.22e-3","4.85e-2","26.29","9.34e-1","4.41e-2","5.48e-5"
"UP_SEQ_FEATURE","DOMAIN:MCM N-terminal","0.37%","3","789","3","20675","4.24e-3","6.19e-1","26.20","1.00e+0","6.17e-1","5.54e-5"
"UP_SEQ_FEATURE","DOMAIN:Polymerase nucleotidyl transferase","0.37%","3","789","3","20675","4.24e-3","6.19e-1","26.20","1.00e+0","6.17e-1","5.54e-5"
"UP_SEQ_FEATURE","DOMAIN:MHC class I alpha chain C-terminal","0.37%","3","789","3","20675","4.24e-3","6.19e-1","26.20","1.00e+0","6.17e-1","5.54e-5"
"GOTERM_BP_DIRECT","positive regulation of tumor necrosis factor production","1.49%","12","760","112","19478","4.32e-3","3.08e-1","2.75","1.00e+0","3.05e-1","1.42e-3"
"INTERPRO","Macrophage_inhib_fac_CS","0.37%","3","802","3","20808","4.33e-3","3.38e-1","25.95","1.00e+0","3.36e-1","5.71e-5"
"INTERPRO","Tautomerase/MIF_sf","0.37%","3","802","3","20808","4.33e-3","3.38e-1","25.95","1.00e+0","3.36e-1","5.71e-5"
"INTERPRO","Macrophage_inhib_fac","0.37%","3","802","3","20808","4.33e-3","3.38e-1","25.95","1.00e+0","3.36e-1","5.71e-5"
"GOTERM_BP_DIRECT","proline biosynthetic process","0.37%","3","760","3","19478","4.43e-3","3.10e-1","25.63","1.00e+0","3.07e-1","5.92e-5"
"INTERPRO","Kinesin_motor_CS","0.87%","7","802","41","20808","4.54e-3","3.38e-1","4.43","1.00e+0","3.36e-1","8.81e-4"
"GOTERM_MF_DIRECT","anaphase-promoting complex binding","0.50%","4","776","9","19253","4.55e-3","2.11e-1","11.03","9.94e-1","2.09e-1","2.81e-4"
"INTERPRO","Peptidase_Metallo","0.75%","6","802","29","20808","4.60e-3","3.38e-1","5.37","1.00e+0","3.36e-1","7.15e-4"
"GOTERM_BP_DIRECT","positive regulation of cell migration","2.73%","22","760","288","19478","4.62e-3","3.17e-1","1.96","1.00e+0","3.14e-1","2.15e-3"
"KEGG_PATHWAY","Protein processing in endoplasmic reticulum","2.24%","18","426","170","8534","4.68e-3","5.05e-2","2.12","7.76e-1","4.43e-2","2.01e-3"
"GOTERM_MF_DIRECT","phenylpyruvate tautomerase activity","0.37%","3","776","3","19253","4.73e-3","2.11e-1","24.81","9.95e-1","2.09e-1","6.52e-5"
"GOTERM_MF_DIRECT","2'-5'-oligoadenylate synthetase activity","0.37%","3","776","3","19253","4.73e-3","2.11e-1","24.81","9.95e-1","2.09e-1","6.52e-5"
"GOTERM_MF_DIRECT","TAP binding","0.37%","3","776","3","19253","4.73e-3","2.11e-1","24.81","9.95e-1","2.09e-1","6.52e-5"
"UP_KW_CELLULAR_COMPONENT","Cytoskeleton","10.06%","81","748","1448","18049","4.73e-3","1.89e-2","1.35","2.18e-1","1.35e-2","3.35e-3"
"GOTERM_CC_DIRECT","Golgi apparatus","7.58%","61","791","1122","20795","4.76e-3","5.39e-2","1.43","9.54e-1","4.90e-2","3.14e-3"
"GOTERM_CC_DIRECT","perinuclear region of cytoplasm","5.47%","44","791","750","20795","4.86e-3","5.41e-2","1.54","9.57e-1","4.91e-2","3.07e-3"
"INTERPRO","Ig/MHC_CS","1.12%","9","802","69","20808","4.90e-3","3.49e-1","3.38","1.00e+0","3.47e-1","1.28e-3"
"KEGG_PATHWAY","Autoimmune thyroid disease","1.12%","9","426","54","8534","4.91e-3","5.05e-2","3.34","7.92e-1","4.43e-2","1.27e-3"
"KEGG_PATHWAY","N-Glycan biosynthesis","1.12%","9","426","54","8534","4.91e-3","5.05e-2","3.34","7.92e-1","4.43e-2","1.27e-3"
"BIOCARTA","Role of Ran in mitotic spindle regulation","0.62%","5","114","11","1622","5.03e-3","1.98e-1","6.47","5.69e-1","1.96e-1","5.16e-4"
"GOTERM_MF_DIRECT","cadherin binding involved in cell-cell adhesion","0.62%","5","776","18","19253","5.08e-3","2.14e-1","6.89","9.97e-1","2.12e-1","5.80e-4"
"SMART","ZnMc","0.75%","6","424","29","10706","5.10e-3","3.01e-1","5.22","7.78e-1","3.01e-1","8.14e-4"
"GOTERM_BP_DIRECT","skeletal system development","1.61%","13","760","131","19478","5.18e-3","3.48e-1","2.54","1.00e+0","3.45e-1","1.85e-3"
"UP_SEQ_FEATURE","CARBOHYD:O-linked (Xyl...) (chondroitin sulfate) serine","0.99%","8","789","56","20675","5.20e-3","7.31e-1","3.74","1.00e+0","7.29e-1","1.22e-3"
"GOTERM_MF_DIRECT","cadherin binding","2.98%","24","776","319","19253","5.22e-3","2.14e-1","1.87","9.97e-1","2.12e-1","2.62e-3"
"KEGG_PATHWAY","Cell adhesion molecules","2.11%","17","426","158","8534","5.30e-3","5.28e-2","2.16","8.16e-1","4.64e-2","2.23e-3"
"GOTERM_CC_DIRECT","secretory granule lumen","1.49%","12","791","118","20795","5.32e-3","5.81e-2","2.67","9.68e-1","5.28e-2","1.80e-3"
"GOTERM_MF_DIRECT","chromatin binding","4.10%","33","776","491","19253","5.37e-3","2.14e-1","1.67","9.98e-1","2.12e-1","2.96e-3"
"GOTERM_BP_DIRECT","response to xenobiotic stimulus","2.48%","20","760","255","19478","5.42e-3","3.53e-1","2.01","1.00e+0","3.49e-1","2.48e-3"
"UP_KW_CELLULAR_COMPONENT","Tight junction","1.49%","12","748","109","18049","5.47e-3","2.03e-2","2.66","2.48e-1","1.45e-2","1.86e-3"
"UP_SEQ_FEATURE","MOTIF:Cysteine switch","0.87%","7","789","43","20675","5.50e-3","7.47e-1","4.27","1.00e+0","7.45e-1","1.11e-3"
"GOTERM_BP_DIRECT","spindle organization","0.62%","5","760","19","19478","5.55e-3","3.53e-1","6.74","1.00e+0","3.49e-1","6.57e-4"
"GOTERM_BP_DIRECT","CENP-A containing chromatin assembly","0.50%","4","760","10","19478","5.76e-3","3.53e-1","10.25","1.00e+0","3.49e-1","4.00e-4"
"GOTERM_BP_DIRECT","galactose metabolic process","0.50%","4","760","10","19478","5.76e-3","3.53e-1","10.25","1.00e+0","3.49e-1","4.00e-4"
"GOTERM_BP_DIRECT","positive regulation of ubiquitin protein ligase activity","0.50%","4","760","10","19478","5.76e-3","3.53e-1","10.25","1.00e+0","3.49e-1","4.00e-4"
"KEGG_PATHWAY","Prion disease","3.11%","25","426","278","8534","5.80e-3","5.61e-2","1.80","8.44e-1","4.93e-2","3.07e-3"
"GOTERM_MF_DIRECT","structural constituent of cytoskeleton","1.49%","12","776","113","19253","5.86e-3","2.26e-1","2.63","9.99e-1","2.24e-1","2.01e-3"
"BIOCARTA","Cell Cycle","0.87%","7","114","25","1622","5.93e-3","1.98e-1","3.98","6.30e-1","1.96e-1","1.17e-3"
"UP_KW_PTM","Proteoglycan","1.49%","12","663","99","14316","5.95e-3","2.98e-2","2.62","1.59e-1","2.38e-2","2.03e-3"
"GOTERM_BP_DIRECT","positive regulation of cell population proliferation","4.10%","33","760","512","19478","6.07e-3","3.62e-1","1.65","1.00e+0","3.58e-1","3.44e-3"
"GOTERM_BP_DIRECT","positive regulation of interferon-beta production","0.87%","7","760","43","19478","6.12e-3","3.62e-1","4.17","1.00e+0","3.58e-1","1.27e-3"
"UP_SEQ_FEATURE","BINDING:in inhibited form","0.87%","7","789","44","20675","6.17e-3","8.10e-1","4.17","1.00e+0","8.08e-1","1.28e-3"
"BBID","84.Ubiquitination_Pathways_Cell_Cycle","0.62%","5","28","12","388","6.31e-3","2.26e-1","5.77","2.24e-1","2.26e-1","7.60e-4"
"GOTERM_CC_DIRECT","bicellular tight junction","1.61%","13","791","138","20795","6.42e-3","6.90e-2","2.48","9.84e-1","6.27e-2","2.36e-3"
"INTERPRO","PGBD-like_sf","0.62%","5","802","20","20808","6.45e-3","4.45e-1","6.49","1.00e+0","4.43e-1","8.03e-4"
"GOTERM_BP_DIRECT","negative regulation of viral genome replication","0.87%","7","760","44","19478","6.85e-3","3.98e-1","4.08","1.00e+0","3.95e-1","1.46e-3"
"BIOCARTA","Activation of Src by Protein-tyrosine phosphatase alpha","0.62%","5","114","12","1622","7.14e-3","1.99e-1","5.93","6.98e-1","1.96e-1","8.36e-4"
"GOTERM_CC_DIRECT","MHC class I protein complex","0.50%","4","791","11","20795","7.17e-3","7.58e-2","9.56","9.90e-1","6.89e-2","5.53e-4"
"KEGG_PATHWAY","Rheumatoid arthritis","1.49%","12","426","95","8534","7.36e-3","6.91e-2","2.53","9.05e-1","6.06e-2","2.59e-3"
"GOTERM_MF_DIRECT","extracellular matrix binding","0.75%","6","776","31","19253","7.43e-3","2.71e-1","4.80","1.00e+0","2.69e-1","1.31e-3"
"GOTERM_BP_DIRECT","DNA biosynthetic process","0.75%","6","760","32","19478","7.45e-3","4.17e-1","4.81","1.00e+0","4.13e-1","1.31e-3"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion inner membrane","3.23%","26","748","357","18049","7.48e-3","2.59e-2","1.76","3.23e-1","1.85e-2","4.03e-3"
"GOTERM_MF_DIRECT","protein-containing complex binding","3.11%","25","776","348","19253","7.53e-3","2.71e-1","1.78","1.00e+0","2.69e-1","3.95e-3"
"KEGG_PATHWAY","Apoptosis","1.86%","15","426","136","8534","7.65e-3","6.97e-2","2.21","9.14e-1","6.12e-2","3.13e-3"
"GOTERM_BP_DIRECT","cellular response to UV-A","0.50%","4","760","11","19478","7.69e-3","4.17e-1","9.32","1.00e+0","4.13e-1","6.09e-4"
"GOTERM_BP_DIRECT","cell population proliferation","1.74%","14","760","155","19478","7.71e-3","4.17e-1","2.31","1.00e+0","4.13e-1","3.04e-3"
"INTERPRO","Cyclin","0.62%","5","802","21","20808","7.73e-3","4.66e-1","6.18","1.00e+0","4.63e-1","1.02e-3"
"INTERPRO","Cyclin_C-dom","0.62%","5","802","21","20808","7.73e-3","4.66e-1","6.18","1.00e+0","4.63e-1","1.02e-3"
"GOTERM_BP_DIRECT","DNA repair","2.73%","22","760","303","19478","8.01e-3","4.17e-1","1.86","1.00e+0","4.13e-1","3.99e-3"
"GOTERM_BP_DIRECT","canonical glycolysis","0.62%","5","760","21","19478","8.06e-3","4.17e-1","6.10","1.00e+0","4.13e-1","1.08e-3"
"GOTERM_CC_DIRECT","endocytic vesicle membrane","1.12%","9","791","76","20795","8.11e-3","8.32e-2","3.11","9.95e-1","7.56e-2","2.32e-3"
"GOTERM_CC_DIRECT","pronucleus","0.37%","3","791","4","20795","8.22e-3","8.32e-2","19.72","9.95e-1","7.56e-2","2.13e-4"
"GOTERM_CC_DIRECT","endosome membrane","2.61%","21","791","292","20795","8.25e-3","8.32e-2","1.89","9.95e-1","7.56e-2","4.13e-3"
"UP_SEQ_FEATURE","REGION:VL9 epitope","0.37%","3","789","4","20675","8.27e-3","9.87e-1","19.65","1.00e+0","9.84e-1","2.15e-4"
"UP_SEQ_FEATURE","DOMAIN:2'-5'-oligoadenylate synthetase 1","0.37%","3","789","4","20675","8.27e-3","9.87e-1","19.65","1.00e+0","9.84e-1","2.15e-4"
"UP_SEQ_FEATURE","REGION:Nonhelical region (C-terminal)","0.37%","3","789","4","20675","8.27e-3","9.87e-1","19.65","1.00e+0","9.84e-1","2.15e-4"
"GOTERM_MF_DIRECT","acetylgalactosaminyltransferase activity","0.50%","4","776","11","19253","8.41e-3","2.94e-1","9.02","1.00e+0","2.91e-1","6.89e-4"
"SMART","Cyclin_C","0.62%","5","424","21","10706","8.42e-3","3.90e-1","6.01","9.18e-1","3.90e-1","1.14e-3"
"INTERPRO","2-5-oligoAdlate_synth_1_dom2/C","0.37%","3","802","4","20808","8.43e-3","4.66e-1","19.46","1.00e+0","4.63e-1","2.22e-4"
"INTERPRO","2-5OAS_C_CS","0.37%","3","802","4","20808","8.43e-3","4.66e-1","19.46","1.00e+0","4.63e-1","2.22e-4"
"INTERPRO","Cyclin_A/B-like","0.37%","3","802","4","20808","8.43e-3","4.66e-1","19.46","1.00e+0","4.63e-1","2.22e-4"
"INTERPRO","2-5OAS_N_CS","0.37%","3","802","4","20808","8.43e-3","4.66e-1","19.46","1.00e+0","4.63e-1","2.22e-4"
"INTERPRO","Polymerase_NTP_transf_dom","0.37%","3","802","4","20808","8.43e-3","4.66e-1","19.46","1.00e+0","4.63e-1","2.22e-4"
"INTERPRO","NT_2-5OAS_ClassI-CCAase","0.37%","3","802","4","20808","8.43e-3","4.66e-1","19.46","1.00e+0","4.63e-1","2.22e-4"
"GOTERM_CC_DIRECT","Golgi lumen","1.37%","11","791","109","20795","8.57e-3","8.50e-2","2.65","9.96e-1","7.73e-2","2.92e-3"
"GOTERM_BP_DIRECT","positive regulation of mitochondrial ATP synthesis coupled electron transport","0.37%","3","760","4","19478","8.63e-3","4.17e-1","19.22","1.00e+0","4.13e-1","2.30e-4"
"GOTERM_BP_DIRECT","dTTP biosynthetic process","0.37%","3","760","4","19478","8.63e-3","4.17e-1","19.22","1.00e+0","4.13e-1","2.30e-4"
"GOTERM_BP_DIRECT","regulation of transepithelial transport","0.37%","3","760","4","19478","8.63e-3","4.17e-1","19.22","1.00e+0","4.13e-1","2.30e-4"
"GOTERM_BP_DIRECT","negative regulation of IP-10 production","0.37%","3","760","4","19478","8.63e-3","4.17e-1","19.22","1.00e+0","4.13e-1","2.30e-4"
"GOTERM_BP_DIRECT","tendon development","0.37%","3","760","4","19478","8.63e-3","4.17e-1","19.22","1.00e+0","4.13e-1","2.30e-4"
"GOTERM_BP_DIRECT","positive regulation of mitotic sister chromatid separation","0.37%","3","760","4","19478","8.63e-3","4.17e-1","19.22","1.00e+0","4.13e-1","2.30e-4"
"GOTERM_BP_DIRECT","cellular response to cisplatin","0.37%","3","760","4","19478","8.63e-3","4.17e-1","19.22","1.00e+0","4.13e-1","2.30e-4"
"GOTERM_CC_DIRECT","anaphase-promoting complex","0.62%","5","791","22","20795","8.76e-3","8.56e-2","5.97","9.97e-1","7.77e-2","1.21e-3"
"UP_SEQ_FEATURE","REPEAT:Hemopexin 3","0.62%","5","789","22","20675","8.86e-3","9.96e-1","5.96","1.00e+0","9.94e-1","1.22e-3"
"UP_SEQ_FEATURE","REPEAT:Hemopexin 4","0.62%","5","789","22","20675","8.86e-3","9.96e-1","5.96","1.00e+0","9.94e-1","1.22e-3"
"KEGG_PATHWAY","Progesterone-mediated oocyte maturation","1.61%","13","426","111","8534","8.99e-3","7.97e-2","2.35","9.44e-1","6.99e-2","3.44e-3"
"GOTERM_MF_DIRECT","nucleoside diphosphate kinase activity","0.62%","5","776","21","19253","9.02e-3","2.94e-1","5.91","1.00e+0","2.92e-1","1.25e-3"
"UP_KW_CELLULAR_COMPONENT","MHC I","0.50%","4","748","11","18049","9.08e-3","2.95e-2","8.77","3.78e-1","2.10e-2","7.65e-4"
"GOTERM_MF_DIRECT","dopachrome isomerase activity","0.37%","3","776","4","19253","9.20e-3","2.94e-1","18.61","1.00e+0","2.92e-1","2.53e-4"
"GOTERM_MF_DIRECT","microtubule motor activity","0.99%","8","776","59","19253","9.23e-3","2.94e-1","3.36","1.00e+0","2.92e-1","2.42e-3"
"SMART","IGc1","1.12%","9","424","75","10706","9.26e-3","3.90e-1","3.03","9.36e-1","3.90e-1","2.73e-3"
"GOTERM_BP_DIRECT","regulation of mitotic nuclear division","0.62%","5","760","22","19478","9.56e-3","4.46e-1","5.82","1.00e+0","4.42e-1","1.35e-3"
"GOTERM_BP_DIRECT","regulation of protein-containing complex assembly","0.62%","5","760","22","19478","9.56e-3","4.46e-1","5.82","1.00e+0","4.42e-1","1.35e-3"
"GOTERM_BP_DIRECT","maintenance of blood-brain barrier","0.75%","6","760","34","19478","9.66e-3","4.46e-1","4.52","1.00e+0","4.42e-1","1.83e-3"
"BIOCARTA","Mechanism of Protein Import into the Nucleus","0.62%","5","114","13","1622","9.77e-3","2.33e-1","5.47","8.06e-1","2.30e-1","1.28e-3"
"GOTERM_BP_DIRECT","positive regulation of mitotic cell cycle spindle assembly checkpoint","0.50%","4","760","12","19478","9.96e-3","4.46e-1","8.54","1.00e+0","4.42e-1","8.86e-4"
"GOTERM_BP_DIRECT","CTP biosynthetic process","0.50%","4","760","12","19478","9.96e-3","4.46e-1","8.54","1.00e+0","4.42e-1","8.86e-4"
"GOTERM_BP_DIRECT","cell migration","2.48%","20","760","271","19478","1.01e-2","4.46e-1","1.89","1.00e+0","4.42e-1","4.93e-3"
"GOTERM_BP_DIRECT","proteolysis","4.60%","37","760","615","19478","1.02e-2","4.46e-1","1.54","1.00e+0","4.42e-1","6.26e-3"
"INTERPRO","Ig_C1-set","1.12%","9","802","78","20808","1.02e-2","5.48e-1","2.99","1.00e+0","5.45e-1","3.04e-3"
"UP_SEQ_FEATURE","REPEAT:Hemopexin 1","0.62%","5","789","23","20675","1.04e-2","1.00e+0","5.70","1.00e+0","9.98e-1","1.52e-3"
"UP_SEQ_FEATURE","REPEAT:Hemopexin 2","0.62%","5","789","23","20675","1.04e-2","1.00e+0","5.70","1.00e+0","9.98e-1","1.52e-3"
"UP_KW_BIOLOGICAL_PROCESS","Proline biosynthesis","0.37%","3","496","4","11523","1.04e-2","1.33e-1","17.42","7.41e-1","1.25e-1","3.07e-4"
"GOTERM_BP_DIRECT","mitotic metaphase chromosome alignment","0.87%","7","760","48","19478","1.05e-2","4.48e-1","3.74","1.00e+0","4.44e-1","2.45e-3"
"GOTERM_BP_DIRECT","substantia nigra development","0.87%","7","760","48","19478","1.05e-2","4.48e-1","3.74","1.00e+0","4.44e-1","2.45e-3"
